ID_Publicacion,ID_Publicacion_Padre,ID_Usuario,Usuario_Handle,Plataforma,Tipo_Publicacion,Texto_Publicacion,Hashtags_Usados,Marca_Mencionada,Fecha_Hora_Publicacion,Perfil_Usuario,Antigüedad_Cuenta_Dias,Num_Seguidores_Cuenta,Num_Interacciones,Velocidad_Viralizacion,Contenido_Reciclado,Corroboraciones_Independientes
532,516.0,408,@teamkai_358,TikTok,Comentario,"eso que están pasando como prueba nueva es de un caso viejo, no es de ahora",#JusticiaParaKai,,2026-03-15 04:24:08,Anónimo,729.5,521,382.0,17.7,No,1
533,496.0,267,@camilacastro34,TikTok,Comentario,me acaban de contar que circula una lista de pruebas pero ninguna se puede verificar bien,#KaiDuarte #CancelenAKai,,2026-03-15 04:20:48,Anónimo,15.2,433,1224.0,7.2,No,1
534,,145,@hector,TikTok,Comentario,increíble como en una noche esto se salió de control y todavía falta que hable Kai 💀,#KaiDuarte #QueDijoKai,,2026-03-15 00:59:18,Verificado,326.3,2336,71.0,3.5,No,1
535,,232,@fabianleon,X,Repost/Cita,la cantidad de cuentas nuevas comentando esto me da mala espina y nadie sabe ni qué creer.,#Cancelado,,2026-03-15 01:44:43,Anónimo,1212.4,8191,27.0,2.8,No,0
536,,43,@cesarmoreno,Instagram,Descripción de captura,clásico: pasa algo de madrugada y para el mediodía ya todos tienen opinión y eso que apenas empieza el día.,#KaiDuarte,,2026-03-15 03:56:57,Anónimo,399.3,2727,47.0,2.9,No,0
537,480.0,18,@paula15,TikTok,Transcripción de audio/video,esto va a ser tendencia todo el día seguro la verdad...,,,2026-03-15 04:14:14,Verificado,1607.4,3263,61.0,1.4,No,0
538,139.0,281,@david_,Foro anónimo,Comentario,"esto se puso serio rapidísimo, hace una hora era chisme la verdad.",,,2026-03-15 03:47:58,Anónimo,18.4,401,22.0,2.5,No,0
539,472.0,140,@cristianramirez_,TikTok,Comentario,"esto se puso serio rapidísimo, hace una hora era chisme ya en serio",#YoLeCreoAKai,,2026-03-15 04:07:37,Verificado,853.0,1171,63.0,0.1,No,0
540,293.0,150,@miguelcardenas,X,Descripción de captura,Tremendo desorden se armó de la nada anoche otra vez 🤔,#Cancelado,,2026-03-15 04:58:19,Verificado,1066.3,10079,56.0,4.8,No,0
541,459.0,334,@juliana,Instagram,Comentario,Dicen que un tiktok con millones de vistas ya lo dio por hecho,#KaiDuarte,,2026-03-15 05:20:16,Cuenta_Nueva,0.9,203,1105.0,17.0,No,1
542,,182,@davidcastro,TikTok,Transcripción de audio/video,alguien me explica bien qué fue lo que pasó anoche y nadie sabe ni qué creer,#QueDijoKai,,2026-03-15 01:19:46,Fan_Antiguo,30.0,494,26.0,4.6,No,1
543,400.0,337,@antoniaperez99,X,Comentario,"ojo con esto: me contaron que alguien del equipo renunció por esto, sin confirmación",#CancelenAKai,,2026-03-15 03:18:58,Cuenta_Nueva,4.0,172,140.0,15.3,No,1
544,,344,@brayan99,Instagram,Repost/Cita,literal me desperté y lo primero que vi fue esto y nadie sabe ni qué creer...,#EvaluandoLaSituacion,,2026-03-15 03:58:14,Anónimo,0.0,84,84.0,0.5,No,0
545,518.0,141,@carloscardenasx,X,Comentario,"Esto ya lo vi venir hace rato, algo raro pasaba de verdad...",#KaiEsInocente #QueDijoKai,,2026-03-15 04:12:06,Fan_Antiguo,1245.7,605,96.0,2.9,No,0
546,290.0,44,@santiago_,Instagram,Comentario,"honestamente, seguridad del evento confirmó que hubo varios testigos presentes",#EvaluandoLaSituacion,,2026-03-15 04:03:06,Verificado,30.0,172,88.0,5.8,No,1
547,240.0,135,@ximena03,Instagram,Comentario,"a mi me da igual, no sigo a Kai pero el trending me tiene aquí leyendo otra vez",,,2026-03-15 04:10:10,Anónimo,609.3,1810,185.0,2.8,No,0
548,472.0,348,@david22,X,Comentario,yo sigo esperando que Kai diga algo la verdad 🤔🤔,#KaiDuarte,,2026-03-15 02:37:27,Cuenta_Nueva,10.5,106,25.0,1.8,No,0
549,436.0,327,@yuliana07,X,Comentario,Me acaban de contar que circula una lista de pruebas pero ninguna se puede verificar bien,,,2026-03-15 04:30:32,Cuenta_Nueva,14.7,52,1812.0,15.1,Sí (idéntico a publicación de 2023 sobre otro creador),0
550,386.0,332,@natalia_real,X,Comentario,me acaban de contar que un influencer chiquito aseguró que tiene pruebas pero no las ha mostrado,,,2026-03-15 04:52:14,Anónimo,18.2,64,479.0,15.0,Sí (idéntico a publicación de 2023 sobre otro creador),1
551,499.0,310,@lilianacardenas_real,Instagram,Comentario,Circula que circula una lista de pruebas pero ninguna se puede verificar bien,#EvaluandoLaSituacion #Cancelado,,2026-03-15 03:58:06,Anónimo,13.7,85,428.0,3.8,No,1
552,340.0,133,@tomas,X,Comentario,yo creo que nadie de los que participamos notó nada fuera de lo normal esa noche,#YoLeCreoAKai #EvaluandoLaSituacion,,2026-03-15 03:16:35,Anónimo,412.0,630,68.0,7.1,No,4
553,364.0,340,@carlospardoco,Instagram,Comentario,"para que sepan: conozco a alguien que ganó un sorteo anterior de Kai, todo fue legal",#YoLeCreoAKai,,2026-03-15 04:36:51,Cuenta_Nueva,12.3,86,86.0,2.2,No,2
554,,36,@sebastian_00,TikTok,Repost/Cita,cada hora aparece un ángulo nuevo de esto de verdad,,,2026-03-15 02:48:14,Verificado,1113.8,958,8.0,1.9,No,0
555,325.0,223,@ricardo07,Instagram,Comentario,"actualización: el clip completo, sin el corte de 14 segundos, cuenta una historia distinta",#KaiDuarte,,2026-03-15 03:27:25,Fan_Antiguo,1197.3,1391,101.0,3.5,No,3
556,,236,@tomas_col,TikTok,Post original,no puedo creer lo que está pasando con Kai sin exagerar,#EvaluandoLaSituacion #Cancelado,,2026-03-15 01:13:02,Fan_Antiguo,367.2,2412,69.0,4.8,No,0
557,495.0,238,@johanacruzx,Instagram,Repost/Cita,"A mi me da igual, no sigo a Kai pero el trending me tiene aquí leyendo otra vez",,,2026-03-15 04:12:51,Verificado,1232.8,9864,60.0,2.4,No,0
558,375.0,185,@miguelsalazar07,X,Repost/Cita,Increíble como en una noche esto se salió de control y las marcas ni se han pronunciado bien,#KaiMentiroso,,2026-03-15 04:16:27,Anónimo,1417.0,3528,10.0,0.2,No,1
559,528.0,78,@carloscun,X,Repost/Cita,esto se siente exactamente igual a lo del año pasado con otro streamer y las marcas ni se han pronunciado bien 😭😭,,,2026-03-15 04:37:59,Verificado,1139.1,4722,231.0,4.0,No,0
560,340.0,146,@kevinmoreno2020,TikTok,Comentario,la cantidad de cuentas nuevas comentando esto me da mala espina la verdad,,,2026-03-15 03:37:13,Fan_Antiguo,632.8,8319,7.0,2.4,No,0
561,544.0,195,@sofia_ug,X,Comentario,"yo hacía memes de Kai, ahora no sé ni qué publicar ya en serio 🤔",#Cancelado #KaiMentiroso,,2026-03-15 04:08:50,Fan_Antiguo,1096.8,1324,41.0,0.1,No,0
562,310.0,334,@juliana,Foro anónimo,Comentario,@PulsoTech ustedes ya sabían de esto o no? necesitamos que hablen,,PulsoTech,2026-03-15 04:39:06,Cuenta_Nueva,0.9,203,65.0,1.5,No,0
563,301.0,216,@vivianaramirez_ug,X,Transcripción de audio/video,tremendo desorden se armó de la nada anoche y nadie sabe ni qué creer,#KaiEsInocente,,2026-03-15 04:18:46,Anónimo,448.1,1917,61.0,2.5,No,0
564,467.0,15,@ivanbogota,X,Transcripción de audio/video,increíble como en una noche esto se salió de control de verdad,#OjoConEstoKai,,2026-03-15 03:21:03,Anónimo,398.5,843,111.0,2.5,No,0
565,427.0,294,@melissa_,Instagram,Comentario,esto me recuerda a como diez casos parecidos la verdad...,#YoLeCreoAKai #QueDijoKai,,2026-03-15 03:36:17,Cuenta_Nueva,14.6,1198,145.0,2.5,No,1
566,468.0,49,@sebastian98,Instagram,Repost/Cita,yo llevo horas viendo hilos sobre esto en vez de dormir la verdad,,,2026-03-15 04:07:37,Anónimo,,4642,46.0,4.0,No,1
567,238.0,190,@carlosmedinatv,TikTok,Comentario,tremendo desorden se armó de la nada anoche y nadie sabe ni qué creer.,#Cancelado,,2026-03-15 02:23:13,Verificado,1927.5,11752,151.0,3.5,No,0
568,381.0,353,@mvidalteam_304,X,Repost/Cita,"COMPARTAN esto antes de que lo borren, la verdad sobre Kai #CancelenAKai",#CancelenAKai,,2026-03-15 03:25:50,Bot_Sospechoso,2.8,12794,318.0,11.2,No,0
569,564.0,349,@jorgecun,X,Repost/Cita,Yo llevo horas viendo hilos sobre esto en vez de dormir...,#QueDijoKai,,2026-03-15 03:25:35,Cuenta_Nueva,2.2,337,67.0,4.6,No,0
570,,48,@yulianapardo_col,Foro anónimo,Transcripción de audio/video,"esto se puso serio rapidísimo, hace una hora era chisme ya en serio.",#Cancelado #EvaluandoLaSituacion,,2026-03-15 01:37:43,Fan_Antiguo,1261.8,5372,62.0,3.9,No,0
571,364.0,223,@ricardo07,TikTok,Comentario,"para que sepan: la plataforma que usaron para el sorteo es auditable, cualquiera puede revisarla",,,2026-03-15 04:23:57,Fan_Antiguo,1197.3,1391,20.0,2.2,No,3
572,264.0,110,@yuliana,X,Comentario,yo sigo esperando que Kai diga algo de verdad 💀💀,,,2026-03-15 04:13:49,Verificado,1050.4,12050,39.0,0.1,No,0
573,,227,@fabian03,X,Comentario,esto habla más de nosotros como internet que de Kai la verdad y eso que apenas empieza el día,#EvaluandoLaSituacion,,2026-03-15 03:12:59,Anónimo,865.1,645,29.0,3.0,No,0
574,335.0,24,@johanarios34,X,Comentario,yo estaba conectado desde el minuto uno y no vi nada extraño,,,2026-03-15 03:44:52,Fan_Antiguo,30.0,7666,49.0,4.6,No,2
575,571.0,345,@hectorramirez,X,Comentario,"Dato: tengo un conocido que trabajó en la producción, dice que todo estuvo en orden",#EvaluandoLaSituacion,,2026-03-15 04:42:27,Anónimo,12.3,170,26.0,3.6,No,2
576,402.0,90,@carlos_real,X,Comentario,"Que fastidio, otra vez cancelando a alguien sin dejarlo hablar y eso que apenas empieza el día 💀",,,2026-03-15 04:39:08,Fan_Antiguo,30.0,249,10.0,0.6,No,1
577,424.0,338,@cesarsabana,TikTok,Comentario,"dicen que me contaron que alguien del equipo renunció por esto, sin confirmación",,,2026-03-15 03:33:21,Cuenta_Nueva,2.6,970,914.0,9.0,No,0
578,533.0,161,@lauramoreno22,X,Repost/Cita,"cada rato sale un testigo nuevo, esto ya parece novela la verdad",,,2026-03-15 04:47:18,Anónimo,30.0,6893,19.0,0.1,No,1
579,,54,@haroldriosbogota,Instagram,Post original,cada hora aparece un ángulo nuevo de esto sinceramente...,#Cancelado,,2026-03-15 03:01:05,Fan_Antiguo,1270.7,672,25.0,2.7,No,0
580,559.0,73,@lilianarios_00,Instagram,Repost/Cita,no puedo creer lo que está pasando con Kai otra vez,,,2026-03-15 04:39:47,Fan_Antiguo,248.8,8978,27.0,3.6,No,1
581,,322,@angie_oficial,X,Post original,El trending de hoy tenía que ser esto obviamente y cada rato cambia la versión 😳😳,,,2026-03-14 23:56:38,Cuenta_Nueva,6.1,178,59.0,3.1,No,0
582,,212,@sofiaco,Instagram,Comentario,tremendo desorden se armó de la nada anoche de verdad 💀,,,2026-03-15 01:32:38,Fan_Antiguo,597.0,3332,119.0,2.9,No,1
583,305.0,292,@valentinasuarez_real,X,Comentario,"sea cual sea la verdad, la forma en que se está manejando esto es un desastre y eso que apenas empieza el día",#FueraKai #KaiDuarte,,2026-03-15 04:30:10,Anónimo,6.5,446,63.0,1.9,No,0
584,440.0,276,@carlos03,TikTok,Comentario,"yo hacía memes de Kai, ahora no sé ni qué publicar sinceramente 💀💀",,,2026-03-15 05:20:11,Anónimo,10.1,109,69.0,2.4,No,0
585,551.0,258,@cesarlopez98,Foro anónimo,Comentario,yo esperaría el comunicado oficial antes de opinar y cada rato cambia la versión,,,2026-03-15 04:01:50,Cuenta_Nueva,10.1,239,39.0,1.7,No,0
586,551.0,268,@viviana_real,X,Comentario,circula que un tiktok con millones de vistas ya lo dio por hecho,#FueraKai,,2026-03-15 04:14:06,Cuenta_Nueva,10.6,1154,496.0,0.9,No,0
587,359.0,354,@mvidalteam_128,X,Repost/Cita,"no dejen que borren la evidencia, guarden capturas ya #CancelenAKai",#CancelenAKai,,2026-03-15 02:14:27,Bot_Sospechoso,1.9,10228,76.0,22.3,No,0
588,408.0,307,@adrianacun,Instagram,Comentario,"para que sepan: tengo un conocido que trabajó en la producción, dice que todo estuvo en orden",#KaiDuarte #YoLeCreoAKai,,2026-03-15 04:20:02,Cuenta_Nueva,17.8,24,242.0,4.0,No,4
589,,177,@haroldgomez2020,TikTok,Repost/Cita,"cada rato sale un testigo nuevo, esto ya parece novela otra vez 😳",#Cancelado,,2026-03-15 01:43:30,Anónimo,300.7,699,72.0,0.5,No,1
590,538.0,185,@miguelsalazar07,X,Comentario,Dato: nadie de los que participamos notó nada fuera de lo normal esa noche,#YoLeCreoAKai,,2026-03-15 04:12:02,Anónimo,1417.0,3528,526.0,0.1,No,2
591,585.0,262,@oscarpinzon,X,Comentario,posta que un influencer chiquito aseguró que tiene pruebas pero no las ha mostrado,,,2026-03-15 04:12:58,Cuenta_Nueva,0.2,142,121.0,15.0,No,1
592,392.0,188,@santiago22,TikTok,Comentario,"Me acaban de contar que según un grupo de Facebook, esto ya se sabía desde hace meses",,,2026-03-15 04:25:45,Fan_Antiguo,2439.2,194,661.0,3.1,No,0
593,520.0,260,@samuelcun,Foro anónimo,Comentario,"que fastidio, otra vez cancelando a alguien sin dejarlo hablar y las marcas ni se han pronunciado bien...",,,2026-03-15 02:26:04,Cuenta_Nueva,12.4,486,61.0,2.9,No,0
594,545.0,239,@oscarrojascun,TikTok,Repost/Cita,todo el mundo etiquetando a UrbanKrew pidiendo que se pronuncien,#QueDijoKai,NovaVolt,2026-03-15 04:25:27,Anónimo,1224.3,1924,394.0,2.5,No,0
595,226.0,97,@mateoleon_real,X,Repost/Cita,esto habla más de nosotros como internet que de Kai la verdad y cada rato cambia la versión 😭😭,#JusticiaParaKai,,2026-03-15 03:59:01,Verificado,30.0,521,66.0,1.2,No,0
596,407.0,418,@fansdekai_039,X,Comentario,"esa imagen no es nueva, ya circulaba con otro nombre hace tiempo",#JusticiaParaKai,,2026-03-15 04:21:45,Fan_Antiguo,0.0,385,187.0,3.3,No,4
597,519.0,272,@oscarvargas34,TikTok,Comentario,"posta que me contaron que alguien del equipo renunció por esto, sin confirmación",,,2026-03-15 03:33:37,Cuenta_Nueva,8.7,103,160.0,1.4,Sí (idéntico a publicación de 2023 sobre otro creador),0
598,477.0,296,@johanatv,Instagram,Comentario,"honestamente, yo estuve cerca del evento y no noté nada raro esa noche",,,2026-03-15 04:18:55,Cuenta_Nueva,10.5,139,92.0,4.5,No,2
599,344.0,99,@paola07,TikTok,Comentario,esto habla más de nosotros como internet que de Kai la verdad y todavía falta que hable Kai,#QueDijoKai,,2026-03-15 05:18:16,Anónimo,30.0,6228,30.0,0.1,No,0
600,,62,@tomas_,X,Transcripción de audio/video,"Yo hacía memes de Kai, ahora no sé ni qué publicar y todavía falta que hable Kai",#KaiMentiroso,,2026-03-15 01:16:24,Anónimo,1442.6,3056,137.0,0.8,No,0
601,523.0,62,@tomas_,Instagram,Comentario,yo creo que seguridad del evento confirmó que hubo varios testigos presentes,,,2026-03-15 03:48:53,Anónimo,1442.6,3056,82.0,3.0,No,2
602,533.0,249,@daniela15,X,Comentario,"yo creo que conozco a alguien que ganó un sorteo anterior de Kai, todo fue legal",#QueDijoKai,,2026-03-15 04:21:43,Anónimo,1073.8,27330,948.0,5.4,No,0
603,422.0,65,@miguelgomez98,TikTok,Comentario,"me acaban de contar que me contaron que alguien del equipo renunció por esto, sin confirmación",#QueDijoKai,,2026-03-15 04:31:33,Verificado,736.6,556,561.0,9.9,No,1
604,498.0,290,@haroldbogota,X,Comentario,La cantidad de cuentas nuevas comentando esto me da mala espina de verdad,#Cancelado,,2026-03-15 05:12:31,Anónimo,8.1,277,99.0,0.7,No,0
605,446.0,349,@jorgecun,TikTok,Comentario,honestamente ya perdí la cuenta de cuántas pruebas van y todavía falta que hable Kai.,,,2026-03-15 05:22:41,Cuenta_Nueva,2.2,337,140.0,1.4,No,0
606,536.0,146,@kevinmoreno2020,Instagram,Comentario,"dicen que me contaron que alguien del equipo renunció por esto, sin confirmación",,,2026-03-15 04:36:57,Fan_Antiguo,632.8,8319,279.0,18.7,No,0
607,428.0,159,@sebastiantv,X,Repost/Cita,"Que oso si es verdad, y que oso si no lo es ya en serio...",,,2026-03-15 04:06:25,Verificado,878.4,281,35.0,0.4,No,0
608,285.0,264,@monica2020,X,Comentario,Mis amigas y yo llevamos toda la noche hablando de esto sin exagerar 🤔🤔,,,2026-03-15 04:02:26,Cuenta_Nueva,19.1,11,100.0,0.6,No,1
609,594.0,276,@carlos03,Instagram,Comentario,ojo con esto: supuestamente el ganador real habló pero borró el mensaje rapidísimo,#KaiMentiroso #CancelenAKai,,2026-03-15 04:33:10,Anónimo,10.1,109,69.0,16.2,Sí (idéntico a publicación de 2023 sobre otro creador),0
610,388.0,411,@fansdekai_135,TikTok,Comentario,"eso que están pasando como prueba nueva es de un caso viejo, no es de ahora",#JusticiaParaKai,,2026-03-15 04:51:40,Anónimo,438.7,1428,144.0,10.7,No,1
611,451.0,336,@juan_ug,TikTok,Comentario,posta que circula el rumor de que hay más pruebas guardadas para después,#FueraKai #CancelenAKai,,2026-03-15 04:25:20,Cuenta_Nueva,15.1,127,740.0,0.1,Sí (idéntico a publicación de 2023 sobre otro creador),0
612,490.0,111,@johana07,TikTok,Comentario,dicen que alguien juró que tiene capturas del chat privado pero nunca las publicó,,,2026-03-15 03:47:34,Anónimo,2802.4,5405,1115.0,4.6,No,1
613,448.0,358,@apoyomateo_927,X,Repost/Cita,"KAI ES CULPABLE, ya hay pruebas, no lo defiendan más #CancelenAKai",#CancelenAKai,,2026-03-15 03:05:30,Bot_Sospechoso,1.9,6389,190.0,24.1,No,0
614,503.0,315,@tomasperezbogota,X,Comentario,"  ojo con esto: me contaron que alguien del equipo renunció por esto, sin confirmación   ",#KaiMentiroso,,2026-03-15 04:27:56,Cuenta_Nueva,0.0,32,2187.0,10.8,No,1
615,,42,@natalia03,TikTok,Post original,honestamente ya perdí la cuenta de cuántas pruebas van y las marcas ni se han pronunciado bien...,#CancelenAKai,,2026-03-15 02:01:49,Anónimo,642.8,13959,239.0,2.1,No,0
616,379.0,200,@sofiasuarez_oficial,TikTok,Comentario,"que oso si es verdad, y que oso si no lo es.",#Cancelado,,2026-03-15 04:28:29,Anónimo,1916.5,2891,75.0,1.9,No,1
617,,96,@claudia_oficial,X,Comentario,"todo mundo subiendo teorías, nadie subiendo pruebas y cada rato cambia la versión",#QueDijoKai,,2026-03-15 01:18:15,Verificado,30.0,2448,138.0,0.1,No,0
618,,335,@manuelapinzon,TikTok,Comentario,esto va a ser tendencia todo el día seguro ya en serio,,,2026-03-15 03:07:46,Cuenta_Nueva,7.0,106,111.0,1.4,No,1
619,473.0,239,@oscarrojascun,TikTok,Transcripción de audio/video,Dejen a la gente en paz hasta que se sepa la verdad y cada rato cambia la versión,,,2026-03-15 04:13:14,Anónimo,1224.3,1924,41.0,2.8,No,0
620,353.0,97,@mateoleon_real,Foro anónimo,Comentario,Tremendo desorden se armó de la nada anoche de verdad 😳😳,#Cancelado #KaiDuarte,,2026-03-15 04:31:32,Verificado,30.0,521,68.0,0.1,No,1
621,165.0,188,@santiago22,X,Transcripción de audio/video,yo sigo esperando que Kai diga algo.,#KaiDuarte #EvaluandoLaSituacion,,2026-03-15 04:37:47,Fan_Antiguo,2439.2,194,59.0,1.5,No,0
622,270.0,192,@nataliacardenas15,TikTok,Comentario,"PulsoTech lleva media hora sin responder nada, mal ahí",#KaiDuarte,PulsoTech,2026-03-15 04:03:05,Anónimo,517.2,179,13.0,1.7,No,0
623,,82,@kevincardenas2020,X,Descripción de captura,"que fastidio, otra vez cancelando a alguien sin dejarlo hablar y cada rato cambia la versión",,,2026-03-15 03:09:12,Verificado,468.4,4255,28.0,2.0,No,0
624,596.0,409,@fansdekai_482,X,Comentario,el historial de Kai con sus sorteos ha sido limpio siempre,#JusticiaParaKai,,2026-03-15 04:24:55,Cuenta_Nueva,0.0,604,236.0,10.2,No,2
625,388.0,123,@liliananinoco,TikTok,Repost/Cita,dejen a la gente en paz hasta que se sepa la verdad ya en serio,#QueDijoKai #CancelenAKai,,2026-03-15 04:36:06,Anónimo,1093.5,4896,64.0,1.1,No,0
626,435.0,342,@kevin_00,X,Comentario,"posta que vi un live reaccionando que desmontó todo, aunque no lo vi completo",,,2026-03-15 04:17:03,Cuenta_Nueva,18.5,10457,253.0,13.7,Sí (idéntico a publicación de 2023 sobre otro creador),1
627,557.0,194,@cesar_ug,Foro anónimo,Repost/Cita,"cada rato sale un testigo nuevo, esto ya parece novela y eso que apenas empieza el día",#KaiDuarte,,2026-03-15 04:15:02,Anónimo,560.4,1122,267.0,0.1,No,0
628,332.0,90,@carlos_real,Instagram,Transcripción de audio/video,clásico: pasa algo de madrugada y para el mediodía ya todos tienen opinión la verdad,#VerificaAntesDeCompartir #OjoConEstoKai,,2026-03-15 04:23:37,Fan_Antiguo,30.0,249,69.0,3.2,No,0
629,509.0,310,@lilianacardenas_real,Instagram,Comentario,"que oso si es verdad, y que oso si no lo es la verdad.",,,2026-03-15 02:09:59,Anónimo,13.7,85,112.0,2.9,No,0
630,527.0,57,@tatianacun,Instagram,Comentario,"circula que me contaron que alguien del equipo renunció por esto, sin confirmación",#FueraKai #QueDijoKai,,2026-03-15 05:38:50,Fan_Antiguo,1900.8,2479,1662.0,2.2,No,1
631,442.0,353,@mvidalteam_304,TikTok,Repost/Cita,"no dejen que borren la evidencia, guarden capturas ya #CancelenAKai",#CancelenAKai,,2026-03-15 02:49:24,Bot_Sospechoso,2.8,12794,,29.6,No,0
632,624.0,406,@porsiempreKai_824,TikTok,Comentario,"esas capturas ya las vi hace años en otro escándalo, esto es reciclado",#JusticiaParaKai,,2026-03-15 04:27:46,Anónimo,0.0,1311,101.0,0.1,No,2
633,626.0,320,@yuliana22,Instagram,Comentario,posta que alguien juró que tiene capturas del chat privado pero nunca las publicó,,,2026-03-15 04:19:54,Cuenta_Nueva,18.5,191,146.0,17.1,No,1
634,572.0,335,@manuelapinzon,TikTok,Comentario,increíble como en una noche esto se salió de control la verdad,#Cancelado,,2026-03-15 04:34:59,Cuenta_Nueva,7.0,106,33.0,0.1,No,0
635,517.0,74,@samuel_col,X,Comentario,"honestamente, la plataforma que usaron para el sorteo es auditable, cualquiera puede revisarla",,,2026-03-15 04:55:10,Verificado,2095.2,7866,98.0,2.9,No,2
636,601.0,314,@esteban_uni,Instagram,Comentario,actualización: el ganador de mi ciudad sí recibió el premio sin ningún inconveniente,#KaiDuarte,,2026-03-15 03:54:56,Anónimo,4.7,256,617.0,8.5,No,7
637,517.0,83,@luisa_ug,TikTok,Comentario,"para que sepan: seguí el proceso desde el chat en vivo, a mí se vio transparente",#EvaluandoLaSituacion #Cancelado,,2026-03-15 04:59:15,Fan_Antiguo,1570.9,988,52.0,3.6,No,4
638,322.0,85,@antonia_real,Instagram,Comentario,Dejen a la gente en paz hasta que se sepa la verdad de verdad,,,2026-03-15 04:29:32,Verificado,583.1,465,24.0,0.1,No,0
639,342.0,144,@carolinapinzon34,TikTok,Comentario,@PulsoTech ustedes ya sabían de esto o no? necesitamos que hablen,,PulsoTech,2026-03-15 03:57:13,Fan_Antiguo,61.0,2900,70.0,2.5,No,0
640,518.0,39,@tatiana15,Foro anónimo,Repost/Cita,la cantidad de cuentas nuevas comentando esto me da mala espina sinceramente,,,2026-03-15 04:07:52,Anónimo,1660.6,1149,162.0,1.6,No,0
641,530.0,295,@kevin15,Foro anónimo,Comentario,posta que supuestamente el ganador real habló pero borró el mensaje rapidísimo,#KaiMentiroso #Cancelado,,2026-03-15 04:32:05,Anónimo,22.8,699,206.0,10.3,No,0
642,503.0,29,@antonia34,Foro anónimo,Comentario,cada hora aparece un ángulo nuevo de esto sin exagerar...,#EvaluandoLaSituacion #CancelenAKai,,2026-03-15 05:15:14,Verificado,1009.1,48489,57.0,2.3,No,0
643,437.0,85,@antonia_real,TikTok,Comentario,"cada rato sale un testigo nuevo, esto ya parece novela y eso que apenas empieza el día...",#Cancelado,,2026-03-15 03:13:25,Verificado,583.1,465,57.0,0.7,No,0
644,327.0,318,@angie03,X,Comentario,circula el rumor de que hay más pruebas guardadas para después,#EvaluandoLaSituacion,,2026-03-15 04:36:03,Cuenta_Nueva,,180,756.0,4.0,Sí (idéntico a publicación de 2023 sobre otro creador),1
645,398.0,343,@angie07,TikTok,Comentario,yo esperaría el comunicado oficial antes de opinar y nadie sabe ni qué creer,,,2026-03-15 03:08:30,Cuenta_Nueva,21.7,613,171.0,1.7,No,0
646,431.0,277,@yesidcastro,X,Descripción de captura,"que oso si es verdad, y que oso si no lo es la verdad 😭😭",,,2026-03-15 05:30:19,Anónimo,23.9,374,49.0,3.5,No,0
647,571.0,86,@saralopez34,Instagram,Comentario,para que sepan: yo estaba conectado desde el minuto uno y no vi nada extraño,,,2026-03-15 04:31:10,Verificado,749.9,14859,113.0,1.7,No,1
648,647.0,74,@samuel_col,TikTok,Comentario,"actualización: tengo un conocido que trabajó en la producción, dice que todo estuvo en orden",#JusticiaParaKai,,2026-03-15 04:35:30,Verificado,2095.2,7866,92.0,2.7,No,2
649,,304,@adrianariostv,Instagram,Comentario,"vi que NovaVolt sacó un comunicado, muy tibio la verdad",#Cancelado,UrbanKrew,2026-03-14 23:52:38,Cuenta_Nueva,13.2,764,89.0,2.3,No,1
650,454.0,256,@brayan15,X,Comentario,Actualización: un conocido trabaja en el canal y dice que ahí todo queda respaldado,,,2026-03-15 04:24:14,Anónimo,2.1,19,348.0,7.2,No,3
651,602.0,329,@monica34,Foro anónimo,Comentario,actualización: nadie de los que participamos notó nada fuera de lo normal esa noche,#JusticiaParaKai,,2026-03-15 04:26:54,Cuenta_Nueva,19.9,548,201.0,0.1,No,1
652,445.0,270,@julianacardenas34,X,Comentario,"dicen que me contaron que alguien del equipo renunció por esto, sin confirmación",#QueDijoKai,,2026-03-15 05:38:07,Cuenta_Nueva,0.0,1657,480.0,16.5,Sí (idéntico a publicación de 2023 sobre otro creador),1
653,397.0,139,@gabrielanino_real,TikTok,Comentario,tremendo desorden se armó de la nada anoche otra vez,#Cancelado #KaiDuarte,,2026-03-15 04:08:28,Anónimo,2428.8,1858,10.0,0.1,No,0
654,571.0,306,@carloslopez_col,X,Comentario,"la marca ya se está lavando las manos, típico",,,2026-03-15 04:32:19,Anónimo,13.2,420,6.0,1.3,No,0
655,559.0,226,@camilasuarezbogota,TikTok,Repost/Cita,en mi casa no se habla de otra cosa desde anoche,,,2026-03-15 04:59:22,Fan_Antiguo,1132.7,446,17.0,1.6,No,0
656,628.0,71,@luisatv,X,Comentario,"honestamente, tengo un conocido que trabajó en la producción, dice que todo estuvo en orden",,,2026-03-15 04:25:35,Anónimo,2238.0,4432,117.0,4.8,No,1
657,387.0,77,@alejandrorojas_11,Instagram,Comentario,mis amigas y yo llevamos toda la noche hablando de esto y nadie sabe ni qué creer...,#QueDijoKai,,2026-03-15 04:05:15,Anónimo,284.9,995,14.0,2.1,No,0
658,606.0,314,@esteban_uni,X,Comentario,me acaban de contar que dicen que hay un audio filtrado completo pero nadie lo ha mostrado,#KaiDuarte #KaiMentiroso,,2026-03-15 04:37:58,Anónimo,4.7,256,685.0,17.8,No,0
659,526.0,181,@adrianagomez99,TikTok,Repost/Cita,dejen a la gente en paz hasta que se sepa la verdad y eso que apenas empieza el día...,#EvaluandoLaSituacion,,2026-03-15 03:06:27,Anónimo,519.8,405,69.0,0.1,No,0
